,monthly_income,monthly_expense_total,savings_rate,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,income_type,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
13,2110.66,2707.86,0.24,recession,647.0,0.32,331.5,563.48,6,1153.64,86,0,Salary,Positive,17.2,Medium,0.0,0
14,3507.29,2661.4,0.26,normal,739.0,0.4,650.88,220.05,7,1405.48,74,0,Salary,Neutral,11.2,Medium,845.89,0
15,2098.58,4614.09,0.16,normal,620.0,0.29,655.47,284.89,1,1381.6,58,0,Salary,Positive,94.2,Low,0.0,0
16,3677.65,3489.82,0.3,normal,631.0,0.13,511.94,347.32,7,1729.56,66,1,Mixed,Negative,50.0,Low,187.83,0
17,1884.19,2764.11,0.29,normal,676.0,0.41,550.79,394.33,6,1692.29,59,0,Mixed,Positive,68.6,Low,0.0,0
18,3697.31,3523.56,0.17,normal,743.0,0.52,351.55,247.39,6,493.09,62,0,Salary,Negative,90.6,Medium,173.75,0
19,4726.33,3948.38,0.14,normal,691.0,0.48,369.67,409.83,7,1320.35,96,0,Salary,Negative,73.7,Low,777.95,0
20,2911.22,1886.67,0.17,normal,631.0,0.52,448.13,112.31,7,1431.26,35,0,Salary,Neutral,43.5,High,1024.55,0
21,3972.53,2793.73,0.22,normal,759.0,0.44,469.72,955.5,7,1359.6,82,0,Mixed,Neutral,79.7,Low,1178.8,0
22,5136.85,2474.84,0.28,inflation,694.0,0.25,428.59,529.61,7,1045.61,64,0,Salary,Neutral,81.4,Low,2662.01,0
23,4124.22,2712.7,0.26,normal,706.0,0.21,308.5,258.74,5,615.45,94,0,Salary,Neutral,78.3,Low,1411.52,0
24,4622.48,2219.51,0.18,normal,661.0,0.46,318.48,591.38,3,2306.84,27,0,Salary,Negative,64.1,Low,2402.97,0
25,4859.63,2830.71,0.4,normal,609.0,0.32,787.17,459.74,2,768.35,31,0,Salary,Positive,39.8,Low,2028.92,0
26,5414.37,3328.5,0.1,inflation,665.0,0.56,540.72,512.29,5,1233.88,41,0,Salary,Positive,47.7,Medium,2085.87,0
27,6042.51,2246.36,0.05,inflation,620.0,0.5,419.3,579.51,5,1513.09,22,0,Salary,Positive,27.9,Medium,3796.15,1
28,4422.94,2989.14,0.32,normal,662.0,0.38,440.32,326.25,9,322.35,90,0,Salary,Negative,27.3,High,1433.8,0
29,4012.76,2193.69,0.3,normal,617.0,0.53,720.24,0.0,6,1168.02,96,0,Freelance,Negative,65.4,Medium,1819.07,0
30,3163.61,4000.56,0.22,recession,619.0,0.29,377.91,686.52,6,1411.56,96,0,Salary,Negative,89.5,Low,0.0,0
31,2980.36,2083.75,0.15,recession,690.0,0.23,365.45,213.49,6,453.89,78,0,Salary,Positive,84.0,Medium,896.61,0
32,3515.99,3276.12,0.06,inflation,633.0,0.12,479.01,353.98,8,347.98,38,0,Salary,Positive,98.8,Low,239.87,0
33,3855.03,2510.28,0.4,normal,736.0,0.52,247.74,223.91,9,497.88,22,0,Freelance,Positive,80.7,Low,1344.75,0
34,3725.58,3430.91,0.08,normal,771.0,0.43,588.68,736.18,9,890.21,70,0,Salary,Positive,88.5,Medium,294.67,0
35,5423.61,3424.74,0.39,recession,718.0,0.2,330.56,610.25,4,735.81,86,0,Salary,Positive,62.6,Medium,1998.87,0
36,5273.97,2583.11,0.16,recession,602.0,0.44,426.18,621.56,7,898.01,71,0,Salary,Positive,72.8,Medium,2690.86,0
37,4276.99,2785.21,0.31,inflation,731.0,0.22,480.68,282.26,7,2344.53,29,0,Freelance,Positive,46.9,High,1491.78,0
38,4781.39,3279.82,0.29,recession,691.0,0.36,742.09,0.0,7,0.0,62,0,Salary,Positive,22.2,High,1501.57,0
39,4457.69,3522.27,0.3,normal,632.0,0.13,390.65,0.0,3,1154.66,35,0,Salary,Neutral,51.5,Medium,935.42,0
40,3782.73,2241.48,0.16,normal,689.0,0.5,564.04,278.85,9,790.98,25,0,Salary,Negative,4.2,Low,1541.25,0
41,3933.49,4154.43,0.37,normal,635.0,0.13,880.34,552.72,3,210.08,52,0,Salary,Negative,98.0,Low,0.0,0
42,4047.29,2359.97,0.07,normal,599.0,0.4,602.42,342.41,3,857.38,21,0,Salary,Neutral,77.9,Low,1687.32,0
43,4076.19,3117.55,0.32,normal,728.0,0.59,358.86,160.08,5,471.82,70,0,Salary,Negative,4.2,High,958.64,0
44,4155.26,3157.23,0.17,normal,720.0,0.27,743.05,245.03,2,1347.98,27,0,Salary,Positive,11.9,Low,998.03,0
45,1900.97,3577.86,0.4,recession,744.0,0.31,548.82,237.28,9,1398.07,35,0,Salary,Positive,5.2,Low,0.0,0
46,2402.19,2901.92,0.06,normal,705.0,0.18,686.61,461.51,6,1569.13,54,0,Salary,Positive,39.9,Low,0.0,0
47,3764.31,2918.07,0.22,normal,662.0,0.44,671.29,0.0,4,789.59,96,0,Salary,Positive,66.0,Low,846.24,0
48,3549.62,2797.15,0.07,normal,690.0,0.16,639.79,313.85,7,713.24,94,0,Salary,Positive,71.6,High,752.47,0
49,4722.51,3075.01,0.34,normal,655.0,0.33,632.85,130.94,3,662.47,82,0,Salary,Positive,32.4,High,1647.5,0
50,3393.56,3409.64,0.4,normal,614.0,0.19,415.4,249.76,4,1264.6,96,0,Mixed,Neutral,41.1,Low,0.0,0
51,4264.95,1818.65,0.09,normal,561.0,0.27,153.88,30.37,8,1429.66,35,0,Salary,Negative,27.8,Medium,2446.3,0
52,3170.26,2214.21,0.36,recession,661.0,0.28,306.82,466.11,2,1084.61,40,0,Salary,Negative,67.7,Medium,956.05,0
53,4573.38,3768.84,0.27,normal,749.0,0.55,146.4,464.62,5,1591.2,86,0,Salary,Neutral,54.3,Medium,804.54,0
54,2800.92,1663.92,0.24,normal,657.0,0.17,125.73,553.6,4,1420.61,82,0,Freelance,Positive,23.0,Low,1137.0,0
55,5578.55,2600.71,0.06,recession,700.0,0.45,262.58,813.12,3,1379.9,74,0,Freelance,Negative,53.8,Medium,2977.84,1
56,4078.42,2546.59,0.33,recession,630.0,0.37,589.78,690.28,8,1376.49,22,0,Salary,Positive,6.3,Low,1531.83,0
57,4116.03,2919.91,0.14,normal,688.0,0.53,485.74,386.86,9,897.14,76,0,Salary,Positive,64.1,Low,1196.12,0
58,4268.09,2534.99,0.13,recession,750.0,0.5,470.08,499.18,3,928.08,80,0,Freelance,Positive,76.0,Low,1733.1,0
59,5466.77,3518.15,0.15,normal,675.0,0.33,300.01,419.52,8,872.66,29,0,Salary,Positive,87.6,Low,1948.62,0
60,3593.89,3401.82,0.25,normal,619.0,0.13,725.61,698.79,7,1860.17,96,0,Salary,Positive,68.3,High,192.07,0
61,5216.32,3003.14,0.25,normal,695.0,0.25,322.61,207.54,4,429.86,25,0,Mixed,Negative,77.3,Low,2213.18,0
62,3997.43,2243.56,0.16,normal,683.0,0.45,399.33,705.24,2,466.72,32,0,Salary,Neutral,37.1,Medium,1753.87,0
63,4838.69,4392.42,0.26,recession,645.0,0.5,723.09,919.03,7,1226.78,87,0,Salary,Positive,23.8,Low,446.27,0
64,3613.29,1069.2,0.25,recession,649.0,0.48,516.49,465.08,8,609.45,93,0,Freelance,Neutral,99.4,High,2544.09,0
65,4055.69,4699.43,0.16,normal,764.0,0.41,262.43,483.13,6,354.31,24,0,Mixed,Neutral,38.0,Low,0.0,0
66,4533.65,3390.89,0.16,normal,658.0,0.27,568.54,122.02,7,1332.26,84,0,Mixed,Neutral,25.8,High,1142.76,0
67,5532.8,810.91,0.32,inflation,691.0,0.14,416.89,228.69,9,1635.48,59,0,Mixed,Positive,45.2,Medium,4721.89,1
68,5295.24,1740.05,0.11,normal,726.0,0.16,525.73,356.75,8,1003.08,24,0,Freelance,Positive,72.3,Low,3555.19,1
69,3705.56,2972.45,0.18,normal,692.0,0.11,686.14,0.0,4,1420.62,77,0,Salary,Negative,97.4,Medium,733.11,0
70,4521.79,3131.93,0.37,normal,645.0,0.41,280.93,303.34,1,1013.99,90,0,Salary,Negative,62.2,High,1389.86,0
71,3629.51,3352.63,0.06,normal,727.0,0.39,4.73,495.41,7,1294.54,23,0,Salary,Neutral,73.8,Low,276.88,0
72,2586.17,2534.03,0.09,inflation,613.0,0.56,604.13,979.88,7,185.58,34,0,Salary,Positive,50.3,Medium,52.14,0
73,3677.05,2276.04,0.17,normal,753.0,0.57,366.83,601.09,9,834.09,36,0,Salary,Positive,74.5,Medium,1401.01,0
74,3285.42,2691.73,0.21,recession,714.0,0.47,706.65,406.24,7,195.09,76,0,Salary,Positive,33.8,High,593.69,0
75,3814.84,2020.61,0.14,recession,670.0,0.18,367.81,666.47,8,1872.93,37,0,Freelance,Positive,96.9,Low,1794.23,0
76,2282.15,1808.42,0.08,normal,612.0,0.43,573.76,489.73,5,486.95,93,0,Salary,Positive,55.7,Low,473.73,0
77,4003.62,4254.45,0.17,normal,628.0,0.46,660.45,767.32,1,794.26,57,0,Salary,Positive,71.8,Low,0.0,0
78,4169.75,3064.38,0.39,normal,658.0,0.24,633.69,759.34,8,1040.06,60,0,Salary,Positive,46.4,Medium,1105.37,0
79,4154.59,3070.33,0.37,inflation,682.0,0.35,634.79,475.69,9,723.56,53,0,Mixed,Positive,93.6,High,1084.26,0
80,5530.99,996.21,0.26,inflation,668.0,0.1,563.79,597.11,6,1304.41,50,0,Salary,Neutral,69.7,High,4534.78,1
81,2249.0,4408.99,0.1,inflation,681.0,0.35,832.77,312.28,4,1475.67,73,0,Salary,Positive,9.6,Low,0.0,0
82,4108.07,2591.19,0.2,recession,668.0,0.1,298.17,41.32,2,669.87,76,0,Salary,Positive,28.8,Medium,1516.88,0
83,3281.77,2937.27,0.09,normal,621.0,0.22,91.88,625.54,6,1642.86,89,0,Salary,Positive,40.7,Low,344.5,0
84,3642.2,1872.49,0.25,normal,721.0,0.16,782.47,423.27,2,1139.84,50,0,Salary,Neutral,4.5,Low,1769.71,0
85,3463.41,3271.94,0.08,normal,604.0,0.16,415.25,396.61,5,1464.46,45,0,Salary,Neutral,91.8,High,191.47,0
86,4599.21,3564.07,0.3,inflation,657.0,0.37,385.63,736.26,6,503.96,21,0,Salary,Positive,61.4,Low,1035.14,0
87,3375.82,2627.31,0.07,normal,661.0,0.23,885.3,580.03,2,532.31,87,1,Salary,Negative,23.5,Medium,748.51,0
88,4023.87,1360.32,0.17,recession,740.0,0.21,470.65,0.0,7,2018.03,77,0,Salary,Positive,87.0,Low,2663.55,0
89,4976.02,3902.74,0.27,normal,535.0,0.43,1151.87,318.52,5,592.64,58,0,Salary,Positive,93.5,Low,1073.28,0
90,3874.19,2673.9,0.06,inflation,709.0,0.42,359.9,0.0,9,192.49,21,0,Salary,Positive,22.5,Medium,1200.29,0
91,3539.63,1192.31,0.07,normal,731.0,0.4,680.77,130.48,3,303.31,91,0,Freelance,Negative,34.0,Low,2347.32,0
92,2832.28,4716.8,0.39,normal,648.0,0.23,346.02,479.85,1,1165.48,68,0,Salary,Negative,63.3,Medium,0.0,0
93,3456.66,2910.41,0.3,normal,611.0,0.48,492.74,222.84,7,592.01,68,0,Salary,Neutral,10.7,Low,546.25,0
94,2954.93,5011.59,0.19,inflation,696.0,0.35,324.05,608.22,1,959.69,69,0,Salary,Neutral,1.0,High,0.0,0
95,4374.48,4704.11,0.2,normal,666.0,0.28,791.63,275.37,9,543.07,51,0,Freelance,Positive,48.0,High,0.0,0
96,3185.98,1721.25,0.15,normal,613.0,0.32,421.45,403.33,1,959.2,56,0,Salary,Positive,98.9,Low,1464.73,0
97,3150.47,2759.67,0.05,inflation,753.0,0.16,538.51,418.16,6,689.26,52,0,Salary,Neutral,8.8,Low,390.8,0
98,3797.06,2792.7,0.37,inflation,690.0,0.34,372.48,25.42,1,1593.13,63,0,Salary,Positive,97.7,Low,1004.36,0
99,3152.89,1886.08,0.13,inflation,754.0,0.54,728.33,325.3,9,988.54,61,0,Salary,Positive,57.6,Low,1266.81,0
100,4953.73,3013.09,0.31,inflation,651.0,0.56,1110.26,521.1,9,1472.05,88,0,Salary,Negative,45.5,Medium,1940.64,0
101,5299.48,2460.74,0.34,recession,636.0,0.25,496.16,264.36,4,295.52,49,0,Salary,Neutral,38.1,Low,2838.74,0
102,3266.25,1380.33,0.23,normal,708.0,0.19,164.61,464.44,7,1085.1,97,0,Salary,Positive,99.5,High,1885.92,0
103,3805.09,2046.66,0.38,normal,741.0,0.27,232.36,306.77,8,980.8,75,0,Salary,Positive,76.2,Low,1758.43,0
104,4695.21,4526.43,0.2,normal,746.0,0.52,149.62,1114.32,1,1174.05,86,0,Salary,Positive,4.4,Medium,168.78,0
105,3062.59,2374.18,0.37,normal,691.0,0.28,492.44,312.53,6,1952.76,49,0,Freelance,Neutral,33.3,Medium,688.41,0
106,2567.88,2611.7,0.22,normal,663.0,0.41,505.42,0.0,1,397.39,32,0,Freelance,Positive,4.9,High,0.0,0
107,3564.15,2364.97,0.26,inflation,711.0,0.14,544.1,48.06,4,397.5,68,0,Salary,Negative,53.1,Medium,1199.18,0
108,3018.3,2843.89,0.18,normal,635.0,0.36,722.82,438.22,3,997.38,71,0,Freelance,Positive,7.1,High,174.41,0
109,4385.93,2446.52,0.37,normal,718.0,0.19,608.8,249.26,9,1121.99,31,0,Salary,Positive,50.0,High,1939.41,0
110,3365.37,4409.87,0.28,normal,683.0,0.22,626.78,706.14,7,1014.1,54,0,Mixed,Negative,52.2,Low,0.0,0
111,4797.98,3844.56,0.3,normal,685.0,0.18,615.87,331.69,6,665.9,83,0,Salary,Positive,89.1,Low,953.42,0
112,3940.12,3005.82,0.29,normal,665.0,0.37,376.16,231.16,6,700.32,46,0,Freelance,Positive,54.4,Medium,934.3,0
113,4576.18,2464.61,0.14,recession,751.0,0.56,547.0,524.2,2,1394.16,36,0,Freelance,Positive,12.1,High,2111.57,0
114,5111.08,3601.36,0.12,inflation,698.0,0.21,260.95,278.3,3,1016.3,45,0,Salary,Neutral,15.6,Medium,1509.72,0
115,5514.81,2614.04,0.08,normal,703.0,0.11,809.86,28.65,3,1074.75,81,0,Freelance,Positive,58.3,Low,2900.77,0
116,3737.87,3199.86,0.31,normal,647.0,0.18,345.65,633.55,4,1414.24,74,0,Salary,Positive,25.4,Low,538.01,0
117,2788.49,2128.48,0.19,normal,671.0,0.14,921.83,394.93,5,640.45,64,0,Freelance,Positive,11.4,Low,660.01,0
118,3145.16,2220.45,0.32,normal,608.0,0.52,537.63,821.14,6,593.19,37,0,Salary,Negative,99.7,Low,924.71,0
119,3360.3,5853.2,0.12,normal,693.0,0.57,565.83,392.04,5,1104.14,50,0,Salary,Positive,31.7,Medium,0.0,0
120,2578.18,2314.4,0.07,recession,771.0,0.33,487.37,654.57,2,1538.03,32,0,Salary,Positive,31.5,High,263.78,0
121,4532.96,2762.25,0.36,normal,664.0,0.37,509.45,299.82,9,1262.0,92,0,Salary,Neutral,19.1,Medium,1770.71,0
122,6148.1,3555.9,0.25,recession,660.0,0.13,978.84,423.54,1,178.61,45,0,Salary,Negative,1.3,Low,2592.2,0
123,1947.27,4457.39,0.26,normal,669.0,0.46,687.79,596.46,8,396.93,25,0,Salary,Positive,76.4,High,0.0,0
124,2918.58,1340.14,0.32,normal,657.0,0.35,534.33,385.09,5,686.51,59,0,Salary,Negative,74.7,High,1578.44,0
125,4743.64,3230.18,0.3,normal,759.0,0.59,447.11,95.44,7,210.13,49,0,Salary,Positive,91.4,Low,1513.46,0
126,2598.15,3477.97,0.25,normal,666.0,0.48,450.99,752.74,6,435.09,94,0,Salary,Positive,64.3,Medium,0.0,0
127,3482.5,2302.83,0.33,normal,630.0,0.15,704.13,321.0,2,683.01,60,0,Mixed,Neutral,90.1,Medium,1179.67,0
128,4313.75,2613.77,0.33,normal,616.0,0.27,459.07,544.2,5,757.58,45,0,Salary,Positive,43.3,Medium,1699.98,0
129,2413.74,2468.21,0.36,normal,728.0,0.23,775.44,391.76,8,1205.19,60,0,Salary,Positive,6.3,High,0.0,0
130,3351.95,2206.76,0.16,normal,731.0,0.33,615.16,369.66,7,1342.36,57,0,Salary,Positive,51.2,Medium,1145.19,0
131,4724.31,3619.56,0.06,normal,622.0,0.53,477.56,610.37,7,557.75,66,0,Salary,Positive,31.0,Low,1104.75,0
132,4744.74,2737.26,0.08,normal,734.0,0.44,473.71,815.78,8,295.45,64,0,Mixed,Positive,46.9,High,2007.48,0
133,4019.61,3348.09,0.09,inflation,662.0,0.44,361.59,39.16,6,1207.1,27,0,Salary,Neutral,93.2,Low,671.52,0
134,3366.47,4182.38,0.31,normal,738.0,0.48,591.37,201.73,5,841.57,34,0,Salary,Neutral,21.4,Medium,0.0,0
135,4236.25,1861.05,0.31,recession,661.0,0.3,375.76,115.31,1,588.55,80,0,Mixed,Positive,95.1,Medium,2375.2,0
136,3391.04,4857.85,0.37,inflation,726.0,0.17,420.55,748.4,2,1696.56,83,0,Salary,Neutral,5.9,Low,0.0,0
137,2598.82,2864.59,0.13,inflation,671.0,0.11,758.38,0.0,1,447.74,32,0,Freelance,Negative,83.2,Low,0.0,0
138,3511.52,3264.87,0.3,recession,665.0,0.27,37.48,696.03,2,1044.62,22,0,Freelance,Positive,31.2,Low,246.65,0
139,3735.72,3341.88,0.23,recession,674.0,0.4,572.46,298.72,6,951.49,82,0,Salary,Positive,90.5,Low,393.84,0
140,2829.98,2944.6,0.29,inflation,695.0,0.41,558.19,254.35,7,808.29,52,0,Salary,Positive,56.4,Medium,0.0,0
141,2249.7,3320.08,0.36,recession,644.0,0.45,563.4,393.77,4,1159.91,79,0,Freelance,Neutral,28.4,Low,0.0,0
142,5275.13,2932.46,0.31,normal,661.0,0.4,743.21,264.15,9,766.96,87,0,Salary,Positive,9.8,Low,2342.67,0
143,5822.68,3179.36,0.21,recession,628.0,0.2,507.93,29.11,1,761.82,54,0,Salary,Positive,93.4,Low,2643.32,0
144,2841.36,2155.87,0.26,normal,786.0,0.36,441.54,0.0,1,745.31,43,0,Freelance,Neutral,52.7,Low,685.49,0
145,5173.36,1901.57,0.26,inflation,720.0,0.46,253.85,347.42,5,912.0,77,0,Salary,Positive,56.6,High,3271.79,1
146,3916.1,3321.43,0.12,normal,598.0,0.28,369.36,275.25,1,2192.03,75,0,Salary,Positive,64.8,High,594.67,0
147,4870.59,3461.87,0.22,inflation,643.0,0.25,371.28,380.98,3,448.36,81,0,Salary,Positive,15.9,Low,1408.72,0
148,3192.65,2536.07,0.15,recession,629.0,0.28,428.2,110.83,4,1500.46,68,0,Salary,Neutral,28.1,Medium,656.58,0
149,4364.93,2068.6,0.32,normal,630.0,0.18,524.35,0.0,8,1337.57,47,0,Salary,Positive,18.9,Low,2296.33,0
150,4424.01,3273.45,0.39,normal,734.0,0.41,399.9,448.44,6,1072.04,51,0,Salary,Neutral,42.1,Low,1150.56,0
151,3950.61,4145.59,0.08,inflation,717.0,0.22,656.13,94.21,4,972.52,37,0,Salary,Positive,40.4,High,0.0,0
152,3552.09,2608.6,0.31,normal,674.0,0.16,537.44,352.15,1,1932.91,22,0,Salary,Neutral,94.8,Low,943.49,0
153,3780.84,2435.75,0.4,normal,639.0,0.25,452.79,577.32,3,244.24,38,0,Mixed,Neutral,14.4,Medium,1345.09,0
154,4348.0,2301.0,0.16,normal,714.0,0.39,210.95,335.33,4,976.95,79,0,Salary,Neutral,13.0,Medium,2047.0,0
155,4451.58,2430.48,0.13,recession,826.0,0.2,600.37,799.51,3,1704.66,45,0,Salary,Positive,45.9,Medium,2021.1,0
156,4514.39,2230.66,0.17,normal,589.0,0.36,811.28,83.75,3,957.85,81,0,Salary,Positive,72.0,Medium,2283.73,0
157,4224.96,2896.18,0.23,recession,590.0,0.39,478.88,113.33,4,632.33,93,0,Salary,Positive,13.9,Low,1328.78,0
158,3522.96,3828.39,0.05,inflation,682.0,0.36,279.02,298.87,8,1881.79,45,0,Salary,Positive,61.9,Low,0.0,0
159,5599.7,2721.35,0.34,recession,523.0,0.15,586.9,1049.32,5,0.0,81,0,Mixed,Positive,82.8,High,2878.35,1
160,4148.47,3669.69,0.36,inflation,720.0,0.32,369.29,45.38,8,2083.31,46,0,Salary,Negative,91.5,Low,478.78,0
161,5173.72,3570.01,0.37,normal,650.0,0.47,695.4,412.01,5,817.05,50,0,Salary,Positive,44.7,Low,1603.71,0
162,878.47,3711.08,0.12,recession,694.0,0.29,766.45,451.01,4,1628.87,25,0,Salary,Positive,5.7,Low,0.0,0
163,5784.09,3430.15,0.17,normal,721.0,0.39,708.76,773.55,1,1764.62,74,0,Salary,Neutral,78.2,Low,2353.94,0
164,3598.39,3003.42,0.14,normal,652.0,0.5,594.12,602.97,3,920.91,44,0,Mixed,Positive,50.4,Low,594.97,0
165,3751.22,4491.63,0.14,normal,672.0,0.48,210.01,391.71,5,1726.02,25,0,Salary,Negative,78.4,Low,0.0,0
166,4018.19,2347.54,0.36,inflation,723.0,0.44,321.21,559.82,5,811.69,20,0,Freelance,Positive,39.6,Low,1670.65,0
167,4405.6,2086.74,0.25,inflation,667.0,0.31,690.36,291.7,2,1254.99,78,0,Freelance,Negative,42.6,Low,2318.86,0
168,3988.46,4850.38,0.23,normal,726.0,0.39,503.97,513.48,2,997.14,38,0,Salary,Negative,43.7,Low,0.0,0
169,2349.1,3478.14,0.24,normal,741.0,0.6,547.97,478.93,1,1723.6,88,0,Salary,Neutral,34.4,Medium,0.0,0
170,3384.49,3124.1,0.08,normal,611.0,0.19,297.28,279.95,3,625.08,66,1,Salary,Negative,36.4,Low,260.39,0
171,2772.8,3557.14,0.36,normal,640.0,0.47,363.99,420.95,7,1376.08,28,0,Salary,Positive,12.9,Low,0.0,0
172,3791.64,3048.59,0.29,normal,665.0,0.12,436.53,255.32,1,727.69,98,0,Mixed,Positive,55.9,Medium,743.05,0
173,5591.87,2156.97,0.16,inflation,653.0,0.57,790.76,0.0,8,467.08,98,0,Salary,Positive,42.1,High,3434.9,1
174,5463.62,2816.29,0.25,normal,739.0,0.46,580.65,220.9,5,1519.15,86,0,Freelance,Neutral,44.1,Low,2647.33,1
175,5500.56,2501.94,0.34,normal,678.0,0.17,131.92,0.0,1,479.11,41,0,Salary,Positive,49.5,Low,2998.62,0
176,4786.28,2579.17,0.24,normal,689.0,0.13,697.21,728.56,7,1494.09,40,0,Mixed,Positive,45.6,Low,2207.11,0
177,3035.68,2846.88,0.4,inflation,631.0,0.53,610.9,344.4,3,1150.27,50,0,Salary,Positive,79.6,High,188.8,0
178,2216.99,3393.73,0.33,recession,718.0,0.27,977.65,839.46,3,489.56,50,0,Salary,Negative,42.4,Medium,0.0,0
179,4581.92,4121.99,0.39,normal,680.0,0.51,475.71,81.65,3,2116.1,81,0,Salary,Positive,28.7,High,459.93,0
180,2335.32,3350.56,0.06,inflation,659.0,0.23,813.66,388.09,7,1200.13,31,0,Salary,Neutral,5.2,Medium,0.0,0
181,4529.28,3330.63,0.21,normal,674.0,0.41,497.97,415.73,8,1029.0,34,0,Salary,Negative,35.9,Low,1198.65,0
182,3107.16,2657.15,0.09,normal,675.0,0.37,89.65,365.92,7,1137.77,62,0,Salary,Positive,37.9,Low,450.01,0
183,4721.11,3425.31,0.21,normal,688.0,0.11,335.82,256.28,6,1563.67,97,0,Salary,Positive,45.8,Medium,1295.8,0
184,3908.56,3196.97,0.18,recession,807.0,0.18,563.12,546.06,2,1550.13,41,0,Salary,Neutral,20.2,Low,711.59,0
185,4813.79,2222.54,0.21,normal,645.0,0.19,571.44,323.59,5,378.27,38,0,Mixed,Neutral,49.6,Low,2591.25,0
186,3797.07,3606.88,0.39,normal,736.0,0.2,382.19,903.44,1,39.23,80,0,Freelance,Positive,95.0,Low,190.19,0
187,4018.31,1566.09,0.12,normal,765.0,0.26,414.11,316.5,8,1123.86,98,0,Salary,Positive,3.9,Medium,2452.22,0
188,6187.45,3518.25,0.23,inflation,676.0,0.22,733.8,443.23,6,976.4,79,0,Freelance,Neutral,56.2,Low,2669.2,0
189,2602.7,3487.53,0.38,normal,654.0,0.19,306.94,289.13,1,1684.59,34,0,Salary,Neutral,86.1,Medium,0.0,0
190,3970.71,4435.95,0.15,recession,676.0,0.44,640.58,273.26,6,1635.22,35,0,Freelance,Neutral,29.9,Low,0.0,0
191,4896.1,3404.36,0.24,inflation,757.0,0.36,542.81,487.6,2,838.45,70,0,Salary,Positive,65.4,High,1491.74,0
192,2149.49,3535.83,0.06,normal,662.0,0.58,537.2,577.28,5,442.88,93,0,Salary,Negative,84.9,High,0.0,0
193,4425.12,2375.51,0.25,normal,656.0,0.15,379.77,221.77,3,1568.27,53,0,Salary,Positive,7.9,Medium,2049.61,0
194,4516.16,3683.37,0.31,inflation,685.0,0.23,297.37,155.75,7,1878.64,42,0,Salary,Neutral,33.7,Low,832.79,0
195,4960.36,3565.49,0.35,recession,654.0,0.57,781.6,436.03,5,1351.29,25,0,Mixed,Neutral,77.0,Low,1394.87,0
196,3579.28,3564.95,0.08,normal,578.0,0.55,697.35,582.85,1,1135.29,49,0,Salary,Positive,73.5,Low,14.33,0
197,4195.32,4528.08,0.06,normal,722.0,0.43,789.01,436.08,2,246.74,57,0,Salary,Negative,92.6,Medium,0.0,0
198,3861.33,2315.84,0.36,recession,677.0,0.29,434.62,709.77,6,747.03,36,0,Salary,Neutral,12.7,Medium,1545.49,0
199,4628.51,2707.27,0.17,inflation,661.0,0.22,447.31,585.0,6,246.27,49,0,Mixed,Positive,61.5,Low,1921.24,0
200,4985.68,3857.51,0.35,normal,779.0,0.22,476.72,712.01,3,866.14,60,0,Salary,Negative,55.3,Medium,1128.17,0
201,4960.6,3365.61,0.3,normal,702.0,0.1,648.79,1084.24,9,975.05,25,0,Salary,Neutral,7.7,Low,1594.99,0
